strat, beta, ecc, phi, nfix
optimal, 1.600000, 225.000000, 90.000000, 2
stochastic, 1.650000, 225.000000, 90.000000, 3
optimal, 1.650000, 225.000000, 90.000000, 2
stochastic, 1.700000, 225.000000, 90.000000, 2
optimal, 1.700000, 225.000000, 90.000000, 2
stochastic, 1.600000, 225.000000, 135.000000, 4
optimal, 1.600000, 225.000000, 135.000000, 21
stochastic, 1.650000, 225.000000, 135.000000, 2
optimal, 1.650000, 225.000000, 135.000000, 30
stochastic, 1.700000, 225.000000, 135.000000, 2
optimal, 1.700000, 225.000000, 135.000000, 2
stochastic, 1.600000, 225.000000, 180.000000, 25
optimal, 1.600000, 225.000000, 180.000000, 2
stochastic, 1.650000, 225.000000, 180.000000, 3
optimal, 1.650000, 225.000000, 180.000000, 6
stochastic, 1.700000, 225.000000, 180.000000, 2
optimal, 1.700000, 225.000000, 180.000000, 4
stochastic, 1.600000, 225.000000, 225.000000, 7
optimal, 1.600000, 225.000000, 225.000000, 16
stochastic, 1.650000, 225.000000, 225.000000, 5
optimal, 1.650000, 225.000000, 225.000000, 4
stochastic, 1.700000, 225.000000, 225.000000, 2
optimal, 1.700000, 225.000000, 225.000000, 2
stochastic, 1.600000, 225.000000, 270.000000, 3
optimal, 1.600000, 225.000000, 270.000000, 2
stochastic, 1.650000, 225.000000, 270.000000, 2
optimal, 1.650000, 225.000000, 270.000000, 11
stochastic, 1.700000, 225.000000, 270.000000, 2
optimal, 1.700000, 225.000000, 270.000000, 13
stochastic, 1.600000, 225.000000, 315.000000, 6
optimal, 1.600000, 225.000000, 315.000000, 3
stochastic, 1.650000, 225.000000, 315.000000, 2
optimal, 1.650000, 225.000000, 315.000000, 16
stochastic, 1.700000, 225.000000, 315.000000, 2
optimal, 1.700000, 225.000000, 315.000000, 2
stochastic, 1.600000, 350.000000, 0.000000, 28
optimal, 1.600000, 350.000000, 0.000000, 11
stochastic, 1.650000, 350.000000, 0.000000, 4
optimal, 1.650000, 350.000000, 0.000000, 19
stochastic, 1.700000, 350.000000, 0.000000, 2
optimal, 1.700000, 350.000000, 0.000000, 2
stochastic, 1.600000, 350.000000, 45.000000, 20
optimal, 1.600000, 350.000000, 45.000000, 7
stochastic, 1.650000, 350.000000, 45.000000, 36
optimal, 1.650000, 350.000000, 45.000000, 12
stochastic, 1.700000, 350.000000, 45.000000, 7
optimal, 1.700000, 350.000000, 45.000000, 3
stochastic, 1.600000, 350.000000, 90.000000, 28
optimal, 1.600000, 350.000000, 90.000000, 9
stochastic, 1.650000, 350.000000, 90.000000, 3
optimal, 1.650000, 350.000000, 90.000000, 2
stochastic, 1.700000, 350.000000, 90.000000, 4
optimal, 1.700000, 350.000000, 90.000000, 2
stochastic, 1.600000, 350.000000, 135.000000, 11
optimal, 1.600000, 350.000000, 135.000000, 21
stochastic, 1.650000, 350.000000, 135.000000, 10
optimal, 1.650000, 350.000000, 135.000000, 6
stochastic, 1.700000, 350.000000, 135.000000, 3
optimal, 1.700000, 350.000000, 135.000000, 2
stochastic, 1.600000, 350.000000, 180.000000, 3
optimal, 1.600000, 350.000000, 180.000000, 6
stochastic, 1.650000, 350.000000, 180.000000, 20
optimal, 1.650000, 350.000000, 180.000000, 14
stochastic, 1.700000, 350.000000, 180.000000, 29
optimal, 1.700000, 350.000000, 180.000000, 4
