person,x,y
2,451.9,141.5
2,510.7,352.6
2,585.6,492
2,572.4,324
2,511.2,214.3
2,503.5,302.6
2,304.7,378.8
2,283.9,440.6
2,385.4,344.9
2,398.6,225.9
2,487.9,379.2
2,876.2,618.7
2,739.6,577.4
2,752.4,616.2
2,392.9,716.4
2,366,710.9
2,320.1,595.5
2,427,618.1
2,654.8,707.2
2,227.5,780.9
2,179.6,781.8
2,536.5,765.5
2,516.8,787.5
2,495.9,266.5
2,687.4,281.7
2,571.2,361.5
2,529.3,462.1
2,540,357.2
2,527,262
2,446.3,539.3
2,538.5,589.8
2,515.8,588.5
2,609.4,509
2,684.8,501.5
2,740.1,785.4
2,715.9,768.1
2,709.8,740.2
2,799.9,775.1
2,546,465.6
2,675.4,482.1
2,671.8,532.4
2,349.5,226.4
2,107.1,364.2
2,678.6,522.5
2,560.3,355.4
2,519.5,400.3
2,124,540
2,694.4,519
2,733.3,538.5
2,446.7,797.4
2,550.4,159.4
2,568.1,413.1
2,577.5,189.2
2,513.2,190.7
2,582.5,476.6
2,598.3,774.5
2,560.5,750.3
2,356.4,637.6
2,205.8,395.2
2,419.6,744.6
2,427.2,784.1
2,417.1,810.4
2,348.8,726.4
2,422.9,877.2
2,422.8,855.5
2,328.7,651.9
2,689.5,223.9
2,794.6,195.1
2,936.5,478
2,952.1,409.1
2,940.3,342.5
2,530.8,105.8
2,529.5,426
2,488.4,722.2
2,502.3,577.8
2,514.6,522.3
2,262.1,469.1
2,529.8,513.7
2,428.5,568.2
2,839.5,790.5
2,367,867.1
2,492.4,849.9
2,437.2,229.7
2,615.9,333
2,734.9,384.2
2,112.8,458.8
2,51.4,451.6
2,464,522.4
2,436.4,159
2,293.2,218.2
2,211.3,231.2
2,890.8,418.1
2,546.3,496.6
2,723.7,612.7
2,622.9,551.1
2,797.2,455.2
2,893,404.3
2,611.2,477.3
2,913.1,461
2,178.7,651.3
2,164.7,660.8
2,488.9,529.1
2,248,515.2
2,480.6,582.7
2,364,738.6
2,372.6,295.3
2,369.4,286.3
2,417.3,382.2
2,315.1,336.6
2,466.9,402.1
2,485.4,377
2,498.1,397.9
2,478,329.4
2,646,557.3
2,566.5,613.2
2,432.8,588.8
2,309.2,668.5
2,496.6,808.5
2,372,175.1
2,472.2,313.6
2,121.3,407
2,431,515.3
2,851,366.9
2,949.9,373.8
2,884.1,216
2,520.9,381.6
2,664.4,577.3
2,702.8,590.2
2,511.6,614.4
2,536.1,333.7
2,516,323.4
2,517.5,132.3
2,529.4,77.3
2,284.7,201.6
2,397.1,584.9
2,431,580.2
2,471.8,737.8
2,721.5,667.4
2,323,610.8
2,327.9,586.4
2,764.4,620.6
2,866,634
2,820.5,653.2
2,848.1,629.9
2,576,512.3
2,237.8,610.6
2,188.7,567
2,695.8,645.2
2,174,490
2,85.6,445.4
2,429.9,731.3
2,588.7,712.7
2,305.8,442.8
2,592.3,619.6
2,635.5,673.8
2,351.7,578.1
2,384.4,539.8
2,525.1,577.4
2,545.1,543.4
2,837.5,688.6
2,439.8,884.2
2,502,901.3
2,545.3,270.3
2,522.9,223.5
2,646.1,233.1
2,583.9,465.2
2,661.4,370.3
2,663.9,775.8
2,588.8,564
2,653.3,587.1
2,547.4,789.8
2,667.6,699.7
2,659.6,578.8
2,716.9,607.5
2,695.3,616.8
2,507.5,291.3
2,509.2,227.7
2,184.4,374.7
2,487.2,433.4
2,510.6,221.8
2,174.7,378.8
2,147.9,374.5
2,545,680.3
2,528.2,529.2
2,496.3,447.9
2,502.6,472.9
2,644.8,734.7
2,641.7,676.3
2,889.7,544.8
2,567.5,277.1
2,926,545
2,596,512
2,669.8,494.8
2,723.8,697.5
2,648.3,841.9
2,512.8,446.9
2,611.3,459.6
2,501.3,440.4
2,321,591.2
2,502.2,530
2,566.6,453.3
2,627.1,431
2,519.6,491.4
2,416,165.9
2,468.5,119.4
2,495.6,32.4
2,157.5,413.6
2,291.3,410.2
2,365.3,251.1
2,346.5,262.4
2,432.4,776.1
2,349.9,717.3
2,509.3,532.1
2,202.8,600.8
2,85.6,612.6
2,536.7,415.5
2,802.6,428.7
2,676,248.9
2,662.1,208.3
2,683.3,283.7
2,650.8,334.2
2,637,468.5
2,623.6,456.4
2,656.7,434.9
2,857.6,453.9
2,962.9,497.1
