participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
6, 1479, 0, 1.6, 101, NaN, NaN, 0
6, 1480, 1, 1.6, 2, 50, 315, 1
6, 1481, 1, 1.6, 8, 300, 90, 0
6, 1482, 1, 1.7, 29, 200, 225, 0
6, 1483, 1, 1.65, 18, 250, 180, 1
6, 1484, 1, 1.6, 4, 150, 90, 1
6, 1485, 1, 1.65, 18, 400, 225, 1
6, 1486, 1, 1.65, 17, 400, 135, 1
6, 1487, 1, 1.65, 18, 200, 0, 1
6, 1488, 1, 1.7, 24, 300, 90, 1
6, 1489, 1, 1.6, 5, 100, 135, 1
6, 1490, 1, 1.65, 13, 350, 225, 0
6, 1491, 0, 1.65, 132, NaN, NaN, 0
6, 1492, 1, 1.65, 18, 250, 270, 1
6, 1493, 1, 1.65, 19, 50, 225, 1
6, 1494, 1, 1.6, 1, 250, 270, 1
6, 1495, 1, 1.6, 2, 300, 270, 0
6, 1496, 1, 1.65, 17, 50, 315, 1
6, 1497, 1, 1.6, 3, 150, 270, 0
6, 1498, 1, 1.7, 28, 350, 45, 1
6, 1499, 1, 1.6, 1, 50, 135, 1
6, 1500, 0, 1.7, 243, NaN, NaN, 0
6, 1501, 1, 1.7, 23, 100, 0, 1
6, 1502, 1, 1.6, 1, 200, 45, 1
6, 1503, 1, 1.65, 17, 150, 90, 1
6, 1504, 1, 1.7, 23, 150, 90, 1
6, 1505, 1, 1.65, 10, 50, 225, 1
6, 1506, 1, 1.65, 18, 50, 315, 1
6, 1507, 1, 1.65, 10, 100, 225, 1
6, 1508, 1, 1.6, 7, 100, 270, 1
6, 1509, 1, 1.7, 20, 200, 270, 1
6, 1510, 1, 1.7, 24, 100, 45, 1
6, 1511, 1, 1.7, 24, 250, 180, 1
6, 1512, 0, 1.65, 173, NaN, NaN, 0
6, 1513, 1, 1.7, 26, 200, 180, 1
6, 1514, 1, 1.7, 30, 350, 135, 1
6, 1515, 0, 1.7, 226, NaN, NaN, 0
6, 1516, 1, 1.65, 17, 350, 180, 0
6, 1517, 1, 1.65, 20, 350, 180, 1
6, 1518, 1, 1.65, 13, 100, 315, 1
6, 1519, 1, 1.6, 2, 250, 315, 1
6, 1520, 1, 1.6, 9, 50, 180, 1
6, 1521, 1, 1.65, 17, 350, 270, 0
6, 1522, 0, 1.6, 56, NaN, NaN, 0
6, 1523, 1, 1.7, 23, 50, 90, 1
6, 1524, 0, 1.7, 245, NaN, NaN, 1
6, 1525, 1, 1.65, 17, 50, 90, 1
6, 1526, 1, 1.6, 4, 350, 315, 0
6, 1527, 1, 1.65, 13, 200, 180, 0
6, 1528, 1, 1.7, 19, 50, 270, 1
6, 1529, 1, 1.7, 24, 300, 180, 0
6, 1530, 0, 1.65, 221, NaN, NaN, 0
6, 1531, 1, 1.7, 22, 150, 270, 1
6, 1532, 1, 1.65, 16, 200, 0, 1
6, 1533, 1, 1.7, 26, 350, 45, 0
6, 1534, 1, 1.6, 6, 100, 90, 1
6, 1535, 1, 1.65, 15, 50, 0, 0
6, 1536, 0, 1.6, 49, NaN, NaN, 1
6, 1537, 1, 1.7, 19, 200, 0, 1
6, 1538, 1, 1.7, 24, 350, 180, 1
6, 1539, 0, 1.65, 121, NaN, NaN, 0
6, 1540, 1, 1.6, 9, 400, 0, 1
6, 1541, 1, 1.7, 20, 50, 270, 1
6, 1542, 1, 1.65, 15, 300, 225, 0
6, 1543, 1, 1.7, 19, 250, 135, 1
6, 1544, 1, 1.6, 8, 350, 270, 0
6, 1545, 1, 1.6, 8, 50, 0, 1
6, 1546, 0, 1.7, 229, NaN, NaN, 1
6, 1547, 1, 1.65, 20, 100, 225, 1
6, 1548, 0, 1.7, 265, NaN, NaN, 0
6, 1549, 1, 1.65, 20, 300, 270, 1
6, 1550, 1, 1.7, 29, 100, 45, 1
6, 1551, 1, 1.65, 15, 400, 45, 0
6, 1552, 1, 1.65, 12, 100, 135, 1
6, 1553, 1, 1.7, 28, 300, 0, 0
6, 1554, 1, 1.65, 19, 150, 225, 1
6, 1555, 1, 1.6, 7, 50, 315, 0
6, 1556, 1, 1.7, 26, 400, 315, 0
6, 1557, 1, 1.7, 26, 100, 180, 1
6, 1558, 1, 1.65, 17, 100, 90, 1
6, 1559, 1, 1.6, 7, 300, 315, 0
6, 1560, 0, 1.6, 75, NaN, NaN, 0
6, 1561, 1, 1.7, 25, 100, 315, 1
6, 1562, 1, 1.6, 5, 350, 135, 0
6, 1563, 1, 1.65, 20, 350, 0, 0
6, 1564, 1, 1.7, 28, 50, 315, 1
6, 1565, 1, 1.65, 11, 200, 90, 1
6, 1566, 1, 1.65, 17, 200, 135, 1
6, 1567, 1, 1.7, 25, 400, 45, 1
6, 1568, 1, 1.6, 4, 50, 225, 1
6, 1569, 1, 1.65, 10, 400, 315, 1
6, 1570, 1, 1.6, 6, 400, 135, 0
